scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
155,225.90039,855.56836,0.8432617,231.66406,834.62305,1.0,206.49219,839.25,0.8730469,224.43555,844.45776,0.9248047
156,226.70801,856.59375,0.77490234,230.0625,835.0874,0.9975586,207.25195,840.6621,0.83251953,225.43555,845.74316,0.859375
157,228.24683,858.2705,0.8051758,231.0039,835.8114,1.0,207.71094,842.36816,0.8046875,226.99707,846.56445,0.8666992
158,229.37305,857.83594,0.7558594,232.24219,836.2224,0.95996094,210.53906,843.36914,0.75390625,229.13086,846.3711,0.79248047
159,230.49414,857.6992,0.75683594,233.79688,836.6299,0.9321289,212.49731,843.2954,0.7573242,230.7539,846.459,0.7548828
160,231.04883,857.1699,0.734375,233.73047,836.6553,0.91015625,213.21973,843.12354,0.75146484,230.60938,846.12305,0.7504883
161,231.31445,857.2871,0.74072266,233.64062,836.84375,0.9277344,213.25684,843.20557,0.75683594,230.46875,846.1582,0.765625
162,231.45703,859.2217,0.75439453,232.98828,837.2285,0.9584961,211.31152,844.6616,0.7636719,229.67773,847.1621,0.7763672
163,231.86133,860.6631,0.79833984,232.6543,837.64844,1.0,209.20508,846.0742,0.83251953,229.26855,848.4883,0.890625
164,231.52734,861.08887,0.80078125,232.39844,838.9453,1.0,209.22266,847.7969,0.86572266,229.67578,850.0469,0.8955078
